lat,lng,hours,vessels
-0.05,-138.25,7.339861111,1
-0.05,-170.35,1.276944444,1
-0.05,-170.45,4.690277778,1
-0.05,-170.95,0.509027778,1
-0.05,145.55,3.943611111,1
-0.15,-137.75,5.734722222,1
-0.15,-137.85,0.54875,1
-0.15,-137.95,0.667083333,1
-0.15,-138.05,5.307916667,1
-0.15,-170.35,1.401666667,1
-0.15,168.75,6.159861111,1
-0.15,168.85,2.835694444,1
-0.15,170.85,3.6475,1
-0.15,171.85,1.728194444,1
-0.15,172.25,2.27125,1
-0.15,172.35,1.875694444,1
-0.15,60.25,12.57041667,1
-0.25,-123.25,5.707222222,1
-0.25,-170.35,4.57875,1
-0.25,171.15,6.638888889,1
-0.25,171.25,1.098888889,1
-0.25,172.25,2.786527778,1
-0.35,-122.45,5.247638889,1
-0.35,-122.55,0.803055556,1
-0.35,-123.05,3.321111111,1
-0.35,-123.25,17.62430556,2
-0.35,-123.35,12.31527778,1
-0.35,172.05,0.217777778,1
-0.35,172.15,7.027222222,1
-0.35,172.25,1.114027778,1
-0.35,60.25,12.17527778,1
-0.45,-122.85,5.353472222,1
-0.45,-123.05,2.293194444,1
-0.45,-123.35,6.069861111,1
-0.45,-8.35,0.554027778,1
-0.45,-8.45,0.398611111,1
-0.55,-8.05,0.576388889,1
-0.55,-8.15,0.766805556,1
-0.55,-8.25,0.802777778,1
-0.65,-167.65,1.571111111,1
-0.65,-167.75,3.016666667,1
-0.65,-7.75,1.206805556,1
-0.65,-7.85,0.580555556,1
-0.65,-7.95,0.638888889,1
-0.65,172.55,0.582361111,1
-0.65,172.75,1.941111111,1
-0.75,-7.35,0.619027778,1
-0.75,-7.45,1.232083333,1
-0.75,-7.55,1.38125,1
-0.75,-7.65,1.269027778,1
-0.75,171.35,2.077638889,1
-0.75,171.45,5.540694444,1
-0.75,172.55,0.091805556,1
-0.85,-167.55,1.966666667,1
-0.85,-167.75,1.624305556,1
-0.85,-7.65,0.306805556,1
-0.85,-7.75,0.240555556,1
-0.85,171.35,5.129861111,1
-0.95,-167.55,2.295972222,1
-0.95,-167.75,1.767083333,1
-1.05,-167.75,2.562777778,1
-1.05,148.95,6.257916666,2
-1.05,150.85,10.25027778,1
-1.15,-167.45,1.483611111,1
-1.15,148.95,8.66375,2
-1.15,150.85,2.55,1
-1.15,151.55,3.446111111,1
-1.15,151.65,0.604583333,1
-1.15,173.05,5.598611111,1
-1.25,-167.45,0.879027778,1
-1.25,148.95,7.037916666,2
-1.25,151.65,0.199722222,1
-1.25,151.75,1.89125,1
-1.25,152.05,0.627777778,1
-1.25,172.95,3.906111111,1
-1.25,173.65,0.52625,1
-1.25,173.75,0.580555556,1
-1.35,-165.05,5.274583333,1
-1.35,-167.15,0.245416667,1
-1.35,-167.35,0.94125,1
-1.35,-168.45,1.220694444,1
-1.35,-168.55,4.880416667,1
-1.35,148.95,0.498472222,2
-1.35,152.05,0.583194444,1
-1.35,152.55,0.229027778,1
-1.35,152.65,0.590416667,1
-1.35,152.75,0.812361111,1
