date,lat_bin,lon_bin,mmsi,fishing_hours,lat,long,latlong
2016-12-22,0,-1383,412209076,5.295972222,0.05,-138.25,"0.05, -138.25"
2016-12-22,0,-1705,440780000,0.84875,0.05,-170.45,"0.05, -170.45"
2016-12-22,0,-1704,440780000,5.033611111,0.05,-170.35,"0.05, -170.35"
2016-12-22,0,1701,538060015,3.291805556,0.05,170.15,"0.05, 170.15"
2016-12-22,0,1702,538060015,4.500555556,0.05,170.25,"0.05, 170.25"
2016-12-22,0,1700,538060015,0.601527778,0.05,170.05,"0.05, 170.05"
2016-12-22,256,572,422525000,6.11,25.65,57.25,"25.65, 57.25"
2016-12-22,256,569,422075500,1.192222222,25.65,56.95,"25.65, 56.95"
2016-12-22,256,570,422075500,5.125555556,25.65,57.05,"25.65, 57.05"
2016-12-22,256,571,422395000,5.912222222,25.65,57.15,"25.65, 57.15"
2016-12-22,256,571,422051800,6.438333333,25.65,57.15,"25.65, 57.15"
2016-12-22,512,19,244221000,5.201527778,51.25,1.95,"51.25, 1.95"
2016-12-22,512,20,244221000,1.299166667,51.25,2.05,"51.25, 2.05"
2016-12-22,512,18,244221000,0.410555556,51.25,1.85,"51.25, 1.85"
2016-12-22,512,30,205010000,0.430555556,51.25,3.05,"51.25, 3.05"
2016-12-22,512,-103,228004700,1.759722222,51.25,-10.25,"51.25, -10.25"
2016-12-22,512,26,205307000,1.52875,51.25,2.65,"51.25, 2.65"
2016-12-22,512,27,205307000,0.273888889,51.25,2.75,"51.25, 2.75"
2016-12-22,512,1561,273895300,4.774861111,51.25,156.15,"51.25, 156.15"
2016-12-22,512,1562,273895300,1.44,51.25,156.25,"51.25, 156.25"
2016-12-22,512,26,245445000,0.102222222,51.25,2.65,"51.25, 2.65"
2016-12-22,512,25,245370000,3.876111111,51.25,2.55,"51.25, 2.55"
2016-12-22,512,24,245370000,7.473055556,51.25,2.45,"51.25, 2.45"
2016-12-22,512,24,24593300,0.261527778,51.25,2.45,"51.25, 2.45"
2016-12-22,512,23,205273000,3.022222222,51.25,2.35,"51.25, 2.35"
2016-12-22,512,28,205315000,2.093888889,51.25,2.85,"51.25, 2.85"
2016-12-22,512,27,205315000,0.739583333,51.25,2.75,"51.25, 2.75"
2016-12-22,512,17,205272000,1.3825,51.25,1.75,"51.25, 1.75"
2016-12-22,512,18,205272000,4.740972222,51.25,1.85,"51.25, 1.85"
2016-12-22,512,28,205271000,10.06,51.25,2.85,"51.25, 2.85"
2016-12-22,512,27,205271000,4.706111111,51.25,2.75,"51.25, 2.75"
2016-12-22,512,-103,228048600,0.760277778,51.25,-10.25,"51.25, -10.25"
2016-12-22,512,-104,228048600,1.120138889,51.25,-10.35,"51.25, -10.35"
2016-12-22,512,19,245473000,3.003194444,51.25,1.95,"51.25, 1.95"
2016-12-22,512,21,245473000,0.306944444,51.25,2.15,"51.25, 2.15"
2016-12-22,512,20,245473000,1.755694444,51.25,2.05,"51.25, 2.05"
