Submitted by CCM,VID,Vessel Name,Flag,Registration Number,WIN,Previous Names,Reg Port,Owner Name,Owner Address,Master Name,Master Nationality,Previous Flags,IRCS,Communication Details,Built in Country,Built in Year,Vessel Type,Crew,Fishing Methods,Length,Length Type,Length Units,Moulded Depth,Moulded Depth Units,Beam,Beam Units,Tonnage,Tonnage Type,Engine Power,Power Units,Freezer Types,Freezing Capacity,Freezing Capacity Units,Number of Freezers,FishHold Capacity,FishHold Cap Units,Auth Type,Auth Number,Auth Area,Auth Species,Auth Period From,Auth Period To,Purse seine vessel authorised to tranship at sea,IMO-LR,Authorisation to tranship on the high seas,Under Charter,Charterer Name,Chartering CCM,Address of Charter,Charter Start Date,Charter End Date
Panama,11779,ANGEL NO. 2,Panama,50267-19,HPTG,JUPITER,Panama, ALL PERFECTION LIMITED,"VISTRA CORPORATE SERVICES CENTRE, WICKHAMS CAY II, ROAD TOWN, TORTOLA VG1110, BRITISH VIRGIN ISLANDS",MA ZHEN FENG ,China,PALAU,HPTG,"PSC HOLDING, S.A
 437336014",Japan,1996,BUNKER,20,,122.23,Overall,Meters,12.6,Meters,22,Meters,"9,488.00",GRT,5148,KW,,,,,,,,02-97-1382-197-866,WCPO,,31-Jan-19,31-Jan-21,Not specified,9146027,YES,NO,,,,,
Cook Islands,8723,LADY ANN II,Cook Islands,2118,E5U3018,KONA WIND,Avatiu, Ann Fishing Company Limited,"C/o- Cook Islands Trust and Banking Corporation Limited, Avarua, Rarotonga, Cook Islands.",Jeong Yong Yang,Korea (Democratic Republic of),Cook Islands,E5U3018,Inmarsat C: 451800030,United States of America,1988,Tuna longliner,8,Set longlines,25,Overall,Meters,3.7,Meters,7.9,Meters,181,GRT,761,HP,blast,80,metric tons,1,80,MT,High Seas License,CK18004-HS & CK18007-EEZ,WCPO High Seas,Tuna and tuna like species including Billfish,01-Jan-18,31-Dec-20,NO,8854342,NO,NO,,,,,
China,11120,FU YUAN YU 7082,China,(MIN)CHUANDENG(JI)(2017)FT-100033,BZ2UT,FU YUAN YU 864,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Chen Bao Fa,China,china,BZ2UT,Inmarsat C: 412440036,China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0651(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685583,YES,NO,,,,,
China,11122,FU YUAN YU 7085,China,(MIN)CHUANDENG(JI)(2017)FT-100035,BZ4UT,FU YUAN YU 866,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province",Chen Hua Jin,China,china,BZ4UT,"Inmarsat C: 412440038
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0652(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685600,YES,NO,,,,,
China,11123,FU YUAN YU 7086,China,(MIN)CHUANDENG(JI)(2017)FT-100036,BZ5UT,FU YUAN YU 867,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Wei Ding Gui,China,china,BZ5UT,"Inmarsat C:412440039
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0653(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685612,YES,NO,,,,,
China,11124,FU YUAN YU 7087,China,(MIN)CHUANDENG(JI)(2017)FT-100037,BZ6UT,FU YUAN YU 868,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Zhou Zhen Hua,China,china,BZ6UT,"Inmarsat C:412440043
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0654(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685624,YES,NO,,,,,
China,11125,FU YUAN YU 7088,China,(MIN)CHUANDENG(JI)(2017)FT-100038,BZ7UT,FU YUAN YU 869,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Lin Chao,China,china,BZ7UT,"Inmarsat C: 412440044
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,300,CuM,2,96,CuM,Longliner,GH-0449(2017)Guoyu(gong),Pacific Ocean,Albacore,01-Apr-17,31-Mar-20,Not specified,8685636,YES,NO,,,,,
China,11127,FU YUAN YU 7090,China,(MIN)CHUANDENG(JI)(2017)FT-100040,BZ9UT,FU YUAN YU 871,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Wang Er Fu,China,china,BZ9UT,"Inmarsat C: 412440046
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0656(2016)Guoyu(gong),Pacific Ocean,Albacore,03-Nov-16,31-Mar-19,Not specified,8685650,YES,NO,,,,,
China,11128,FU YUAN YU 7091,China,(MIN)CHUANDENG(JI)(2017)FT-100041,BZ1UM,FU YUAN YU 872,Fuzhou," Fujian Zhongji Farsea Fishery Co., Ltd.","Jinyu Industrial District, Shenhu Town, Quanzhou Jinjiang City, Fujian Province
",Wang Ting Hai,China,china,BZ1UW,"Inmarsat C: 412440047
",China,2009,Longliner,17,Longlines (not specified),37.91,Overall,Meters,3.3,Meters,6.9,Meters,282,GT,400,KW,other,96.2,CuM,2,416,CuM,Longliner,GH-0450(2017)Guoyu(gong),Pacific Ocean,Albacore,01-Apr-17,31-Mar-20,Not specified,8685662,YES,NO,,,,,
China,11707,FU YUAN YU 7968,China,ï¼ˆMINï¼‰CHUANDENG(JI)(2017)FT-200031,BZW8N,NONE,Fuzhou," Hongdong Fishery Co., Ltd","Technology Building, Pandu Township, Lianjiang County",LIN SHAOCHAO,China,NONE,BZW8N,CLS: 153082,China,2017,Longliner,18,Longlines (not specified),42.86,Registered,Meters,4.36,Meters,8.3,Meters,475,GRT,960,KW,Ice,10,MT,2,200,MT,Longliner,No.GH-0738ï¼ˆ2017ï¼‰Guoyu(gong),"EPO, Transhipment only in WCPO",ALBACORE,22-Jun-17,31-Mar-20,Not specified,9838022,YES,NO,,,,,
